ticket_id,text,category,summary,processed_text,cleaned_text
35,"My promotional rate expired. Can I get another discount? Otherwise I'm canceling.",billing,"Customer requests new promotion after expiration","promotional rate expire get discount otherwise cancel","my promotional rate expired can i get another discount otherwise im canceling"
36,"Need to update my payment method. My credit card was replaced.",account,"Customer needs to update payment card","need update payment method credit card replace","need to update my payment method my credit card was replaced"
37,"Best ISP I've ever used! Reliable, fast, and affordable. Highly recommend!",feedback,"General positive feedback about service","good isp ever use reliable fast affordable highly recommend","best isp ive ever used reliable fast and affordable highly recommend"
38,"VPN connection drops constantly. Is my ISP blocking VPN traffic?",technical_issue,"Customer experiencing VPN connection issues","vpn connection drop constantly isp block vpn traffic","vpn connection drops constantly is my isp blocking vpn traffic"
39,"Unauthorized charge of $15.99 labeled as 'premium support'. I never authorized this. Refund now.",billing,"Disputed unauthorized premium support charge","unauthorized charge 1599 label premium support never authorize refund","unauthorized charge of 1599 labeled as premium support i never authorized this refund now"
40,"Can I pause my service for 2 months while I travel abroad?",account,"Customer wants temporary service suspension","pause service 2 month travel abroad","can i pause my service for 2 months while i travel abroad"
41,"Your app keeps crashing on my iPhone. Please release an update.",feedback,"Mobile app stability issues on iOS","app keep crash iphone release update","your app keeps crashing on my iphone please release an update"
42,"Upload speed is terrible. Only getting 5 Mbps upload on a 100 Mbps plan.",technical_issue,"Upload speed much slower than advertised","upload speed terrible get 5 mbps upload 100 mbps plan","upload speed is terrible only getting 5 mbps upload on a 100 mbps plan"
43,"Why do I have to pay taxes on internet service? This seems excessive.",billing,"Customer questions tax charges on bill","pay tax internet service excessive","why do i have to pay taxes on internet service this seems excessive"
44,"I need a receipt for my last 6 months of payments for tax purposes.",account,"Customer requests payment history receipts","need receipt last 6 month payment tax purpose","i need a receipt for my last 6 months of payments for tax purposes"
45,"The hold music when calling support is way too loud. Please lower the volume.",feedback,"Complaint about hold music volume","hold music call support way loud lower volume","the hold music when calling support is way too loud please lower the volume"
46,"Losing packets constantly. Ping spikes to 300ms. Makes gaming impossible.",technical_issue,"High latency and packet loss affecting gaming","lose packet constantly ping spike 300ms make gaming impossible","losing packets constantly ping spikes to 300ms makes gaming impossible"
47,"Was told installation is free but got charged $99. This is false advertising.",billing,"Customer charged for supposedly free installation","tell installation free get charge 99 false advertising","was told installation is free but got charged 99 this is false advertising"
48,"Can I get a static IP address? I'm running a home server.",account,"Customer requests static IP for home server","get static ip address run home server","can i get a static ip address im running a home server"
49,"Contacted support 5 times this month. Every agent gives different information. Very frustrating.",feedback,"Inconsistent information from support agents","contact support 5 time month agent give different information frustrating","contacted support 5 times this month every agent gives different information very frustrating"
50,"Intermittent connection issues during evening hours only. Fine during the day.",technical_issue,"Evening-only connectivity problems","intermittent connection issue evening hour fine day","intermittent connection issues during evening hours only fine during the day"
